title,pubyear,cen,auth,auth_gen,dedication
The Quest of the Silver Fleece,1911,20th century,W. E. B DuBois,Man,"

To One 
whose name may not be written but to whose tireless 
faith the shaping of these cruder thoughts to forms 
more fitly perfect is doubtless due, this 
finished work is herewith dedicated"
Cane,1923,20th century,Jean Toomer,Man,To my grandmother . . .
The Walls of Jericho ,1928,20th century,Rudolph Fisher,Man,"For Glendora —
May her laugh be silver, 
like her hair"
Home to Harlem,1928,20th century,Claude McKay,Man,"      TO MY FRIEND FRIEND
LOUISE BRYANT"
Black No More ,1931,20th century,George Schuyler ,Man,"This book is dedicated 
to all Caucasians in the great republic
 who can trace their ancestry
back ten generations 
and confidently assert that there are no 
Black leaves, twigs, limbs or branches on 
their family trees."
Jonah’s Gourd Vine,1934,20th century,Zora Neale Hurston,Woman,"To Bob Wunsch 
Who is one of the long-wingded angels
Right round the throne
Go gator and muddy the water"
Native Son,1940,20th century,Richard Wright ,Man,"To 
My Mother
who, when I was a child at her knee, taught 
me to revere the fanciful and the imaginative."
The Street,1946,20th century,Ann Petry,Woman,"TO MY MOTHER 
Bertha James Lane"
Invisible Man,1952,20th century,Ralph Ellison,Man,To Ida
Go Tell It on The Mountain ,1953,20th century,James Baldwin,Man,For my Mother and Father
Maud Martha,1953,20th century,Gwendolyn Brooks,Woman,"To my family, 
Henry, Henry, and Nora"
The Outsider,1953,20th century,Richard Wright ,Man,"To Rachel 
my daughter who was born on foreign soil"
Savage Holiday,1954,20th century,Richard Wright ,Man,"Dedication
 to 
CLINTON BREWER"
Giovanni’s Room,1956,20th century,James Baldwin,Man,"FOR LUCIEN
I am the man, I suffered, I was there. 
—Whitman"
The Long Dream,1958,20th century,Richard Wright ,Man,"To my friends
Edward C. Aswell and Paul R. Reynolds 
whose aid and counsel made 
this book possible"
"Brown Girl, Brownstones ",1959,20th century,Paule Marshall,Woman,To My Mother
A Different Drummer,1962,20th century,William Melvin Kelley,Man,"To my mother, Narcissa, 1906-1957, who, in the quietly coura-
geous way that she went about everything, challenged death so I could be born, and won.
  To my father, William Melvin, Senior, 1894-1958, who, when I was too young to realize it, sacrificed so much for me
that it is improable he was ever again truly happy. 
  to MSL, who, when I needed it most, gave me enough love
and kindness and encouragement to start me writing seriously."
And Then We Heard the Thunder,1963,20th century,John Oliver Killens,Man,"TO MY MOTHER
AND TO
HARRIET TUBMAN, who stands head
and shoulders above most Americans 
in my private Hall of Fame, 
and to 
MY  BUDDIES, fallen and standing, 
and to 
CHUCK AND BARBARA and to all 
young people everywhere.
May they never heard the man-made thunder, 
nor see the terrible lightning"
Jubilee,1966,20th century,Margaret Walker,Woman," 
This book is dedicated to all the members of
 my family with all my love. It is especially for
 my mother, my husband, my sisters, and brother
 because they helped to make it possible. It is for
 my four children that they may know something
 of their heritage. And it is to the memory of 
my grandmothers: my maternal great-
grandmother, Margaret Duggans Ware Brown, whose
 story this is; my maternal grandmother, Elvira
 Ware Dozier, who told me this story; and
 my paternal grandmother, Margaret Walker."
