title	pubyear	cen	auth	auth_gen	dedication	Author last name	Author first name	Name as it appears	Author ID	Birth year	Generation	Year of Death	No. of books in the dataset	City of birth	State	Birth country	Level contribution
The Quest of the Silver Fleece	1911.0	20th century	W. E. B DuBois	Man	"

To One 
whose name may not be written but to whose tireless 
faith the shaping of these cruder thoughts to forms 
more fitly perfect is doubtless due, this 
finished work is herewith dedicated"												
Cane	1923.0	20th century	Jean Toomer	Man	To my grandmother . . .												
The Walls of Jericho 	1928.0	20th century	Rudolph Fisher	Man	"For Glendora —
May her laugh be silver, 
like her hair"												
Home to Harlem	1928.0	20th century	Claude McKay	Man	"      TO MY FRIEND FRIEND
LOUISE BRYANT"												
Black No More 	1931.0	20th century	George Schuyler 	Man	"This book is dedicated 
to all Caucasians in the great republic
 who can trace their ancestry
back ten generations 
and confidently assert that there are no 
Black leaves, twigs, limbs or branches on 
their family trees."												
Jonah’s Gourd Vine	1934.0	20th century	Zora Neale Hurston	Woman	"To Bob Wunsch 
Who is one of the long-wingded angels
Right round the throne
Go gator and muddy the water"												
Native Son	1940.0	20th century	Richard Wright 	Man	"To 
My Mother
who, when I was a child at her knee, taught 
me to revere the fanciful and the imaginative."												
The Street	1946.0	20th century	Ann Petry	Woman	"TO MY MOTHER 
Bertha James Lane"												
Invisible Man	1952.0	20th century	Ralph Ellison	Man	To Ida												
Go Tell It on The Mountain 	1953.0	20th century	James Baldwin	Man	For my Mother and Father												
Maud Martha	1953.0	20th century	Gwendolyn Brooks	Woman	"To my family, 
Henry, Henry, and Nora"												
The Outsider	1953.0	20th century	Richard Wright 	Man	"To Rachel 
my daughter who was born on foreign soil"												
Savage Holiday	1954.0	20th century	Richard Wright 	Man	"Dedication
 to 
CLINTON BREWER"												
Giovanni’s Room	1956.0	20th century	James Baldwin	Man	"FOR LUCIEN
I am the man, I suffered, I was there. 
—Whitman"												
The Long Dream	1958.0	20th century	Richard Wright 	Man	"To my friends
Edward C. Aswell and Paul R. Reynolds 
whose aid and counsel made 
this book possible"												
Brown Girl, Brownstones 	1959.0	20th century	Paule Marshall	Woman	To My Mother												
A Different Drummer	1962.0	20th century	William Melvin Kelley	Man	"To my mother, Narcissa, 1906-1957, who, in the quietly coura-
geous way that she went about everything, challenged death so I could be born, and won.
  To my father, William Melvin, Senior, 1894-1958, who, when I was too young to realize it, sacrificed so much for me
that it is improable he was ever again truly happy. 
  to MSL, who, when I needed it most, gave me enough love
and kindness and encouragement to start me writing seriously."												
And Then We Heard the Thunder	1963.0	20th century	John Oliver Killens	Man	"TO MY MOTHER
AND TO
HARRIET TUBMAN, who stands head
and shoulders above most Americans 
in my private Hall of Fame, 
and to 
MY  BUDDIES, fallen and standing, 
and to 
CHUCK AND BARBARA and to all 
young people everywhere.
May they never heard the man-made thunder, 
nor see the terrible lightning"												
Jubilee	1966.0	20th century	Margaret Walker	Woman	" 
This book is dedicated to all the members of
 my family with all my love. It is especially for
 my mother, my husband, my sisters, and brother
 because they helped to make it possible. It is for
 my four children that they may know something
 of their heritage. And it is to the memory of 
my grandmothers: my maternal great-
grandmother, Margaret Duggans Ware Brown, whose
 story this is; my maternal grandmother, Elvira
 Ware Dozier, who told me this story; and
 my paternal grandmother, Margaret Walker."												
Dem	1967.0	20th century	William Melvin Kelley	Man	This book is dedicated to the black people in (not of) America.												
The Bluest Eye	1970.0	20th century	Toni Morrison	Woman	"To the two who gave me life
and the one who made me free"												
The Third Life of Grange Copeland	1970.0	20th century	Alice Walker	Woman	"For my mother, 
who made a way out of no way 

And for Mel, my husband"												
Cotillion, Or, One Good Bull is Half the Herd	1971.0	20th century	John Oliver Killens	Man	"For my brothers Charles and Richard and my sister 
Charlie Mae--and all my Brothers and Sisters the 
world over; and a special appreciation to the Har-
lem Writers Guild."												
The Autobiography of Miss Jane Pittman	1971.0	20th century	Ernest J. Gaines	Man	" 
This book is dedicated
to the memory of 
My grandmother, Mrs. Julia McVay
My Stepfather, Mr. Ralph Norbert Colar, Sr.
and
to the memory of
My beloved aunt Miss Augusteen Jefferson,
who did not walk a day in her life
but who taught me the importance of standing."												
Sula 	1973.0	20th century	Toni Morrison	Woman	"It is sheer good fortune to miss 
somebody long before they leave you. 
This book is for Ford and Slade, whom 
I miss although they have not left me."												
Corregidora	1975.0	20th century	Gayl Jones	Woman	To my parents												
Eva's Man	1976.0	20th century	Gayl Jones	Woman	"for 
MICHAEL S. HARPER"												
Roots: The Saga of an American Family	1976.0	20th century	Alex Haley	Man	"It wasn't planned 
that Roots' researching and writing
 finally would take twelve years. 
Just by chance it is being published
 in the Bicentennial Year of the United States.
So I dedicate Roots as a birthday offering to my country 
within which most of Roots happened."												
Song of Solomon	1977.0	20th century	Toni Morrison	Woman	Daddy												
Kindred	1979.0	20th century	Octavia Butler	Woman	"To Victoria Rose,
friend and goad"												
Tar Baby	1981.0	20th century	Toni Morrison	Woman	"For
Mrs. Caroline Smith
Mrs. Millie McTeer 
Mrs. Ardelia Willis  
Mrs. Ramah Wofford 
Mrs. Lois Brooks 
— and each of their sisters, 
all of whom knew 
their true and ancient 
properties"												
The Color Purple 	1982.0	20th century	Alice Walker	Woman	"To the Spirit: 
Without whose assistance
Neither this book  
Nor I
Would have been 
Written."												
Oxherding Tale	1982.0	20th century	Charles Johnson	Man	"To the memory 
of 
Ruth Elizabeth Johnson"												
Beloved 	1987.0	20th century	Toni Morrison	Woman	"Sixty Million 
and more"												
Dawn	1987.0	20th century	Octavia Butler	Woman	"In memory of Mike Hodel who, through his READ/SF campaign
for literacy, sought to share with everyone 
the pleasure and usefulness 
of the written word."												
Mama	1987.0	20th century	Terry McMillan	Woman	"For my own Mama, 
MADELINE TILLMAN, 
whose love and support 
made everything possible"												
Mama Day	1988.0	20th century	Gloria Naylor	Woman	For Corlies Morgan Smith												
Middle Passage	1990.0	20th century	Charles Johnson	Man	"To Joan
for the last twenty-two years"												
Devil in a Blue Dress	1990.0	20th century	Walter Mosley	Man	"For Joy Kellman, Frederick Tuten, 
and Leroy Mosley"												
The Famished Road	1991.0	20th century	Ben Okri	Man	"To Grace Okri, my mother and friend; 
and to Rosemary Clunie"												
Invisible Life	1991.0	20th century	E. Lynn Harris	Man	"For 
Randy L. Johnson and Richard S. Coleman 

and Five Ladies Who Make a Difference Daily 
                          My mother, Etta W. Harris 
                        My grandma, Bessie Harvey 
                          My aunt, Jessie L. Phillips 
                       My friend, Lencola Sullivan 
                  My inspiration, Dellanor Young"												
White Butterfly	1992.0	20th century	Walter Mosley	Man	"For the stories he keeps on telling, 
I dedicate this book to Leroy Mosley."												
Breath, Eyes, Memory	1994.0	20th century	Edwidge Danticat	Woman	"To the brave women of Haiti,
grandmothers, mothers, aunts,
sisters, cousins, daughters, and friends,
on this shore and other shores.
We have stumbled but we will not fall."												
Just As I Am	1994.0	20th century	E. Lynn Harris	Man	"For
Jules and those who fight the battle against AIDS 
                                          each and every day
                                                                and 
                                                  The Huntleys 
                             Tracey, David, and Calhoun 
                                  for a friendship supreme"												
Black Betty	1994.0	20th century	Walter Mosley	Man	"This book is dedicated to my father, 
who died on New Year's Day, 1993. 

I miss you, Dad."												
The Wedding	1995.0	20th century	Dorothy West	Woman	"To the memory of my editor, 
Jacqueline Kennedy Onassis. Though 
there was never such a mismatched 
pair in appearance, we were 
perfect partners."												
RL's Dream	1995.0	20th century	Walter Mosley	Man	For Leroy Mosley (1916-1993)												
The White Boy Shuffle	1996.0	20th century	Paul Beatty	Man	"For Yvonne Beatty, 
my mother"												
